分區別,醫事機構代碼,醫事機構名稱,機構地址,電話區域號碼 ,電話號碼,特約類別,型態別,醫事機構種類,終止合約或歇業日期,開業狀況
"1","0101090517","臺北市立聯合醫院","臺北市大同區鄭州路145號","02","25553000","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院中興院區","臺北市鄭州路145號","02","25523234","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院仁愛院區","臺北市大安區仁愛路四段10號","02","27093600","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院和平婦幼院區（和平院址）","臺北市中華路2段33號","02","23889595","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院和平婦幼院區（婦幼院址）","臺北市福州街12號","02","23916470","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院忠孝院區","臺北市南港區同德路87號","02","27861288","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院陽明院區","臺北市雨聲街105號","02","28353456","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院松德院區","臺北市信義區松德路309號","02","27263141","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院林森中醫昆明院區（林森院址）","臺北市中山區林森北路530號","02","25916681","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院林森中醫昆明院區（中醫中心）","臺北市萬華區昆明街100號1-2樓","02","23887088","2","01","A","","0"
"1","0101090517","臺北市立聯合醫院林森中醫昆明院區（昆明院址）","臺北市萬華區昆明街100號3樓","02","23703739","2","01","A","","0"
"1","0111070010","衛生福利部基隆醫院","基隆市信義區信二路268號","02","24292525","2","01","A","","0"
"1","0131020016","新北市立聯合醫院","新北市三重區新北大道1段3號、3之1號、板橋區英士路198號","02","29829111","2","01","A","","0"
"1","0131060010","衛生福利部樂生療養院","新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號","02","82006600","3","02","A","","0"
"1","0131060029","衛生福利部臺北醫院","新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓","02","22765566","2","01","A","","0"
"1","0131230012","衛生福利部八里療養院","新北市八里區華富山33號、土城區青雲路6號1、2樓、蘆洲區","02","26101660","2","04","A","","0"
"1","0190030516","衛生福利部金門醫院","金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）","082","332546","3","01","A","","0"
"1","0211070012","基隆市立醫院","基隆市信義區東信路282號，中正區義二路2巷6號","02","24652141","3","02","A","","0"
"1","0291010010","連江縣立醫院","連江縣南竿鄉復興村217號","083","623995","3","02","A","","0"
"1","0401020013","國立臺灣大學醫學院附設癌醫中心醫院","臺北市大安區基隆路3段155巷57號","02","23220322","3","02","A","","0"
"1","0401180014","國立臺灣大學醫學院附設醫院","臺北市中正區中山南路7、8號；常德街1號","02","23123456","1","01","A","","0"
"1","0401180023","國立臺灣大學醫學院附設醫院兒童醫院","臺北市中正區中山南路8號","02","23123456","1","01","A","","0"
"1","0401190010","國立臺灣大學醫學院附設醫院北護分院","臺北市萬華區康定路37號、臺北市萬華區內江街87號","02","23717101","3","01","A","","0"
"1","0431270012","國立臺灣大學醫學院附設醫院金山分院","新北市金山區五湖里玉爐路7號","02","24989898","3","02","A","","0"
"1","0434010518","國立陽明大學附設醫院","宜蘭縣宜蘭市校舍路169號、新民路152號","03","9325192","2","01","A","","0"
"1","0501010019","三軍總醫院松山分院附設民眾診療服務處","臺北市松山區健康路131號","02","27642151","2","01","A","","0"
"1","0501110514","三軍總醫院附設民眾診療服務處","臺北市內湖區成功路2段325號","02","87923311","1","01","A","","0"
"1","0501160014","三軍總醫院北投分院附設民眾診療服務處","臺北市北投區新民路60號　中和街250號","02","28959808","2","02","A","","0"
"1","0511040010","三軍總醫院附設基隆民眾診療服務處","基隆市中正區正榮街100號，仁愛區孝二路39號2樓","02","24633330","3","01","A","","0"
"1","0601160016","臺北榮民總醫院","臺北市北投區石牌路2段201號","02","28712121","1","01","A","","0"
"1","0634030014","臺北榮民總醫院蘇澳分院","宜蘭縣蘇澳鎮蘇濱路1段301號、中山路1段439號","03","9905106","3","01","A","","0"
"1","0634070018","臺北榮民總醫院員山分院","宜蘭縣員山鄉榮光路386號、宜蘭縣宜蘭市林森路1號","03","9222141","3","01","A","","0"
"1","0701160518","臺北市立關渡醫院-委託臺北榮民總醫院經營","臺北市北投區知行路225巷12號","02","28587000","3","06","A","","0"
"1","0901020013","中山醫療社團法人中山醫院","臺北市大安區仁愛路4段112巷11號","02","27081166","3","01","A","","0"
"1","0901180023","郵政醫院（委託中英醫療社團法人經營）","臺北市中正區福州街14號","02","23956755","3","02","A","","0"
"1","0901190010","西園醫療社團法人西園醫院","臺北市萬華區西園路2段266～274號、185、187號","02","23076968","3","01","A","","0"
"1","0911010010","維德醫療社團法人基隆維德醫院","基隆市中正區調和街210號","02","24696688","3","04","A","","0"
"1","0931010016","中英醫療社團法人中英醫院","新北市板橋區文化路1段196號1－4樓","02","22563584","3","02","A","","0"
"1","0931010025","中英醫療社團法人板英醫院","新北市板橋區文化路1段267、269、271號1－4樓","02","82513923","3","02","A","","0"
"1","0931050010","怡濟慈園醫療社團法人宏濟神經精神科醫院","新北市新店區安忠路57巷5號","02","22118899","3","04","A","","0"
"1","0931060016","新仁醫療社團法人新仁醫院","新北市新莊區中正路395號1－5樓","02","22017212","3","02","A","","0"
"1","0931090014","永聖醫療社團法人文化醫院","新北市三峽區介壽路1段199號","02","26732885","3","02","A","","0"
"1","0931100015","北新醫療社團法人北新醫院","新北市淡水區忠寮里演戲埔腳1之2號","02","26209199","3","04","A","","0"
"1","0934060027","海天醫療社團法人海天醫院","宜蘭縣壯圍鄉古亭路23－9號","03","9308010","3","04","A","","0"
"1","1101010021","基督復臨安息日會醫療財團法人臺安醫院","臺北市松山區八德路2段424、426號","02","27718151","2","01","A","","0"
"1","1101020018","國泰醫療財團法人國泰綜合醫院","臺北市大安區仁愛路4段280號，266巷6號","02","27082121","1","01","A","","0"
"1","1101020027","中心診所醫療財團法人中心綜合醫院","臺北市大安區忠孝東路4段77號","02","27510221","3","01","A","","0"
"1","1101020036","宏恩醫療財團法人宏恩綜合醫院","臺北市大安區仁愛路4段71巷1號","02","27713161","3","01","A","","0"
"1","1101100011","台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院","臺北市中山區中山北路2段92號","02","25433535","1","01","A","","0"
"1","1101100020","台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院","臺北市中山區中山北路2段92號","02","25433535","1","01","A","","0"
"1","1101110026","康寧醫療財團法人康寧醫院","臺北市內湖區成功路5段420巷26號","02","26345500","3","01","A","","0"
"1","1101150011","新光醫療財團法人新光吳火獅紀念醫院","臺北市士林區文昌路95號及士商路51號1至7樓53、55號","02","28332211","1","01","A","","0"
"1","1101160017","振興醫療財團法人振興醫院","臺北市北投區振興街45號","02","28264400","2","01","A","","0"
"1","1101160026","醫療財團法人辜公亮基金會和信治癌中心醫院","臺北市北投區立德路125號","02","28970011","2","01","A","","0"
"1","1111060015","長庚醫療財團法人基隆長庚紀念醫院","基隆市安樂區麥金路222號、基隆市麥金路201號","02","24313131","2","01","A","","0"
"1","1131010011","醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","新北市板橋區南雅南路2段21號及高爾富路300號","02","89667000","1","01","A","","0"
"1","1131050515","佛教慈濟醫療財團法人台北慈濟醫院","新北市新店區建國路289號","02","66289779","2","01","A","","0"
"1","1131090019","行天宮醫療志業醫療財團法人恩主公醫院","新北市三峽區復興路399號、中山路198、258號","02","26723456","2","01","A","","0"
"1","1131100010","台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院","新北市淡水區民生路45號、民權路47號B1至10樓","02","28094661","1","01","A","","0"
"1","1131110516","國泰醫療財團法人汐止國泰綜合醫院","新北市汐止區建成路59巷2號地下4樓至地上12樓","02","26482121","2","01","A","","0"
"1","1131130018","新北市立土城醫院（委託長庚醫療財團法人興建經營）","新北市土城區金城路2段6號","02","22630588","3","01","A","","0"
"1","1134010022","宜蘭仁愛醫療財團法人宜蘭仁愛醫院","宜蘭縣宜蘭市中山路2段260號","03","9321888","3","01","A","","0"
"1","1134020019","醫療財團法人羅許基金會羅東博愛醫院","宜蘭縣羅東鎮南昌街81、83號及站前南路61、63號","03","9543131","2","01","A","","0"
"1","1134020028","天主教靈醫會醫療財團法人羅東聖母醫院","宜蘭縣羅東鎮中正南路160號","03","9544106","2","01","A","","0"
"1","1134050026","天主教靈醫會醫療財團法人礁溪杏和醫院","宜蘭縣礁溪鄉礁溪路4段129號","03","9886996","3","02","A","","0"
"1","1134070019","宜蘭員山醫療財團法人宜蘭員山醫院","宜蘭縣員山鄉深溝村尚深路91號","03","9220292","3","06","A","","0"
"1","1231030015","天主教耕莘醫療財團法人永和耕莘醫院","新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓","02","29286060","3","01","A","","0"
"1","1231050017","天主教耕莘醫療財團法人耕莘醫院","新北市新店區中正路362號、車子路15號","02","22193391","2","01","A","","0"
"1","1234020011","財團法人天主教靈醫會羅東聖母醫院","","","","2","01","A","20181031","2"
"1","1301110511","中國醫藥大學附設醫院臺北分院","臺北市內湖區內湖路2段360號","02","27919696","3","01","A","","0"
"1","1301170017","臺北醫學大學附設醫院","臺北市信義區吳興街252號、250號","02","27372181","2","01","A","","0"
"1","1301200010","臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理","臺北市文山區興隆路3段111號","02","29307930","1","01","A","","0"
"1","1331040513","衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉","新北市中和區中正路291號","02","22490088","2","01","A","","0"
"1","1331160010","輔仁大學學校財團法人輔仁大學附設醫院","新北市泰山區貴子路69號（地下4層、地上1至9層及13層）","02","85128888","3","01","A","","0"
"1","1401190011","財團法人台灣省私立台北仁濟院附設仁濟醫院","臺北市萬華區廣州街200、243號","02","23021133","3","02","A","","0"
"1","1401190039","同仁院醫療財團法人萬華醫院","臺北市萬華區中華路2段606巷6號","02","23059292","3","06","A","","0"
"1","1411030013","醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院","基隆市暖暖區源遠路29號","02","24579101","3","02","A","","0"
"1","1431060017","財團法人台灣省私立台北仁濟院附設新莊仁濟醫院","新北市新莊區中環路1段28號","02","22015222","3","04","A","","0"
"1","1501010010","博仁綜合醫院","臺北市松山區光復北路66、68號","02","25786677","3","01","A","","0"
"1","1501010029","培靈醫院","臺北市松山區八德路4段355號","02","27606116","3","04","A","","0"
"1","1501021193","秀傳醫院","","","","3","02","A","20180228","2"
"1","1501021219","秀傳醫院","臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓","02","27717172","3","02","A","","0"
"1","1501100037","協和婦女醫院","臺北市中山區松江路85巷5號93巷6號93巷6號2樓","02","25072222","3","02","A","","0"
"1","1501101141","泰安醫院","臺北市中山區民權東路2段92巷2－1號（地下1樓至地上6樓）","02","25251111","3","06","A","","0"
"1","1501170039","仁康醫院","","","","3","02","A","20180501","2"
"1","1501190031","西園醫院","","","","3","01","A","20180531","2"
"1","1501201020","景美醫院","臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓","02","29331010","3","02","A","","0"
"1","1511010068","新昆明醫院","基隆市中正區中正路30號","02","24268106","3","02","A","","0"
"1","1511060022","南光神經精神科醫院","基隆市安樂區基金一路91號","02","24310082","3","04","A","","0"
"1","1511060040","暘基醫院","基隆市安樂區基金一路129巷8號地下1、地下2及1至5樓","02","24322522","3","04","A","","0"
"1","1531010082","板新醫院","新北市板橋區中正路189號","02","29609955","3","02","A","","0"
"1","1531010108","蕭中正醫院","新北市板橋區南雅南路1段15－1，17，19號","02","29685661","3","02","A","","0"
"1","1531010279","板橋中興醫院","新北市板橋區忠孝路15號","02","29590707","3","01","A","","0"
"1","1531011310","板橋國泰醫院","新北市板橋區忠孝路5，7，9，11號1－3樓","02","29583333","3","02","A","","0"
"1","1531020122","宏仁醫院","新北市三重區三和路2段186－196號","02","29784022","3","02","A","","0"
